game_id,season,week,season_type,team,coach,opponent,opp_coach,points_for,points_against,is_home,won,tied
2014_01_BUF_CHI,2014,1,REG,CHI,Marc Trestman,BUF,Doug Marrone,20.0,23.0,True,0,0
2014_01_BUF_CHI,2014,1,REG,BUF,Doug Marrone,CHI,Marc Trestman,23.0,20.0,False,1,0
2014_01_CAR_TB,2014,1,REG,TB,Lovie Smith,CAR,Ron Rivera,14.0,20.0,True,0,0
2014_01_CAR_TB,2014,1,REG,CAR,Ron Rivera,TB,Lovie Smith,20.0,14.0,False,1,0
2014_01_CIN_BAL,2014,1,REG,BAL,John Harbaugh,CIN,Marvin Lewis,16.0,23.0,True,0,0
2014_01_CIN_BAL,2014,1,REG,CIN,Marvin Lewis,BAL,John Harbaugh,23.0,16.0,False,1,0
2014_01_CLE_PIT,2014,1,REG,PIT,Mike Tomlin,CLE,Mike Pettine,30.0,27.0,True,1,0
2014_01_CLE_PIT,2014,1,REG,CLE,Mike Pettine,PIT,Mike Tomlin,27.0,30.0,False,0,0
2014_01_GB_SEA,2014,1,REG,SEA,Pete Carroll,GB,Mike McCarthy,36.0,16.0,True,1,0
2014_01_GB_SEA,2014,1,REG,GB,Mike McCarthy,SEA,Pete Carroll,16.0,36.0,False,0,0
2014_01_IND_DEN,2014,1,REG,DEN,John Fox,IND,Chuck Pagano,31.0,24.0,True,1,0
2014_01_IND_DEN,2014,1,REG,IND,Chuck Pagano,DEN,John Fox,24.0,31.0,False,0,0
2014_01_JAX_PHI,2014,1,REG,PHI,Chip Kelly,JAX,Gus Bradley,34.0,17.0,True,1,0
2014_01_JAX_PHI,2014,1,REG,JAX,Gus Bradley,PHI,Chip Kelly,17.0,34.0,False,0,0
2014_01_MIN_STL,2014,1,REG,LA,Jeff Fisher,MIN,Mike Zimmer,6.0,34.0,True,0,0
2014_01_MIN_STL,2014,1,REG,MIN,Mike Zimmer,LA,Jeff Fisher,34.0,6.0,False,1,0
2014_01_NE_MIA,2014,1,REG,MIA,Joe Philbin,NE,Bill Belichick,33.0,20.0,True,1,0
2014_01_NE_MIA,2014,1,REG,NE,Bill Belichick,MIA,Joe Philbin,20.0,33.0,False,0,0
2014_01_NO_ATL,2014,1,REG,ATL,Mike Smith,NO,Sean Payton,37.0,34.0,True,1,0
2014_01_NO_ATL,2014,1,REG,NO,Sean Payton,ATL,Mike Smith,34.0,37.0,False,0,0
2014_01_NYG_DET,2014,1,REG,DET,Jim Caldwell,NYG,Tom Coughlin,35.0,14.0,True,1,0
2014_01_NYG_DET,2014,1,REG,NYG,Tom Coughlin,DET,Jim Caldwell,14.0,35.0,False,0,0
2014_01_OAK_NYJ,2014,1,REG,NYJ,Rex Ryan,LV,Dennis Allen,19.0,14.0,True,1,0
2014_01_OAK_NYJ,2014,1,REG,LV,Dennis Allen,NYJ,Rex Ryan,14.0,19.0,False,0,0
2014_01_SD_ARI,2014,1,REG,ARI,Bruce Arians,LAC,Mike McCoy,18.0,17.0,True,1,0
2014_01_SD_ARI,2014,1,REG,LAC,Mike McCoy,ARI,Bruce Arians,17.0,18.0,False,0,0
2014_01_SF_DAL,2014,1,REG,DAL,Jason Garrett,SF,Jim Harbaugh,17.0,28.0,True,0,0
2014_01_SF_DAL,2014,1,REG,SF,Jim Harbaugh,DAL,Jason Garrett,28.0,17.0,False,1,0
2014_01_TEN_KC,2014,1,REG,KC,Andy Reid,TEN,Ken Whisenhunt,10.0,26.0,True,0,0
2014_01_TEN_KC,2014,1,REG,TEN,Ken Whisenhunt,KC,Andy Reid,26.0,10.0,False,1,0
2014_01_WAS_HOU,2014,1,REG,HOU,Bill O'Brien,WAS,Jay Gruden,17.0,6.0,True,1,0
2014_01_WAS_HOU,2014,1,REG,WAS,Jay Gruden,HOU,Bill O'Brien,6.0,17.0,False,0,0
2014_02_ARI_NYG,2014,2,REG,NYG,Tom Coughlin,ARI,Bruce Arians,14.0,25.0,True,0,0
2014_02_ARI_NYG,2014,2,REG,ARI,Bruce Arians,NYG,Tom Coughlin,25.0,14.0,False,1,0
2014_02_ATL_CIN,2014,2,REG,CIN,Marvin Lewis,ATL,Mike Smith,24.0,10.0,True,1,0
2014_02_ATL_CIN,2014,2,REG,ATL,Mike Smith,CIN,Marvin Lewis,10.0,24.0,False,0,0
2014_02_CHI_SF,2014,2,REG,SF,Jim Harbaugh,CHI,Marc Trestman,20.0,28.0,True,0,0
2014_02_CHI_SF,2014,2,REG,CHI,Marc Trestman,SF,Jim Harbaugh,28.0,20.0,False,1,0
2014_02_DAL_TEN,2014,2,REG,TEN,Ken Whisenhunt,DAL,Jason Garrett,10.0,26.0,True,0,0
2014_02_DAL_TEN,2014,2,REG,DAL,Jason Garrett,TEN,Ken Whisenhunt,26.0,10.0,False,1,0
2014_02_DET_CAR,2014,2,REG,CAR,Ron Rivera,DET,Jim Caldwell,24.0,7.0,True,1,0
2014_02_DET_CAR,2014,2,REG,DET,Jim Caldwell,CAR,Ron Rivera,7.0,24.0,False,0,0
2014_02_HOU_OAK,2014,2,REG,LV,Dennis Allen,HOU,Bill O'Brien,14.0,30.0,True,0,0
2014_02_HOU_OAK,2014,2,REG,HOU,Bill O'Brien,LV,Dennis Allen,30.0,14.0,False,1,0
2014_02_JAX_WAS,2014,2,REG,WAS,Jay Gruden,JAX,Gus Bradley,41.0,10.0,True,1,0
2014_02_JAX_WAS,2014,2,REG,JAX,Gus Bradley,WAS,Jay Gruden,10.0,41.0,False,0,0
2014_02_KC_DEN,2014,2,REG,DEN,John Fox,KC,Andy Reid,24.0,17.0,True,1,0
2014_02_KC_DEN,2014,2,REG,KC,Andy Reid,DEN,John Fox,17.0,24.0,False,0,0
2014_02_MIA_BUF,2014,2,REG,BUF,Doug Marrone,MIA,Joe Philbin,29.0,10.0,True,1,0
2014_02_MIA_BUF,2014,2,REG,MIA,Joe Philbin,BUF,Doug Marrone,10.0,29.0,False,0,0
2014_02_NE_MIN,2014,2,REG,MIN,Mike Zimmer,NE,Bill Belichick,7.0,30.0,True,0,0
2014_02_NE_MIN,2014,2,REG,NE,Bill Belichick,MIN,Mike Zimmer,30.0,7.0,False,1,0
2014_02_NO_CLE,2014,2,REG,CLE,Mike Pettine,NO,Sean Payton,26.0,24.0,True,1,0
2014_02_NO_CLE,2014,2,REG,NO,Sean Payton,CLE,Mike Pettine,24.0,26.0,False,0,0
2014_02_NYJ_GB,2014,2,REG,GB,Mike McCarthy,NYJ,Rex Ryan,31.0,24.0,True,1,0
2014_02_NYJ_GB,2014,2,REG,NYJ,Rex Ryan,GB,Mike McCarthy,24.0,31.0,False,0,0
2014_02_PHI_IND,2014,2,REG,IND,Chuck Pagano,PHI,Chip Kelly,27.0,30.0,True,0,0
2014_02_PHI_IND,2014,2,REG,PHI,Chip Kelly,IND,Chuck Pagano,30.0,27.0,False,1,0
2014_02_PIT_BAL,2014,2,REG,BAL,John Harbaugh,PIT,Mike Tomlin,26.0,6.0,True,1,0
2014_02_PIT_BAL,2014,2,REG,PIT,Mike Tomlin,BAL,John Harbaugh,6.0,26.0,False,0,0
2014_02_SEA_SD,2014,2,REG,LAC,Mike McCoy,SEA,Pete Carroll,30.0,21.0,True,1,0
2014_02_SEA_SD,2014,2,REG,SEA,Pete Carroll,LAC,Mike McCoy,21.0,30.0,False,0,0
2014_02_STL_TB,2014,2,REG,TB,Lovie Smith,LA,Jeff Fisher,17.0,19.0,True,0,0
2014_02_STL_TB,2014,2,REG,LA,Jeff Fisher,TB,Lovie Smith,19.0,17.0,False,1,0
2014_03_BAL_CLE,2014,3,REG,CLE,Mike Pettine,BAL,John Harbaugh,21.0,23.0,True,0,0
2014_03_BAL_CLE,2014,3,REG,BAL,John Harbaugh,CLE,Mike Pettine,23.0,21.0,False,1,0
2014_03_CHI_NYJ,2014,3,REG,NYJ,Rex Ryan,CHI,Marc Trestman,19.0,27.0,True,0,0
2014_03_CHI_NYJ,2014,3,REG,CHI,Marc Trestman,NYJ,Rex Ryan,27.0,19.0,False,1,0
2014_03_DAL_STL,2014,3,REG,LA,Jeff Fisher,DAL,Jason Garrett,31.0,34.0,True,0,0
2014_03_DAL_STL,2014,3,REG,DAL,Jason Garrett,LA,Jeff Fisher,34.0,31.0,False,1,0
