team_abbr,group,title,name,pulled_at
ARI,front_office,Owner/chairman/president,Michael Bidwill,2026-08-31T00:53:23.584622+00:00
ARI,front_office,General manager,Monti Ossenfort,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Assistant general manager,Dave Sears,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Vice president of player personnel,Rob Kisiel,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Vice president of football operations & facilities,Matt Caracciolo,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Vice president of football administration,Matt Harriss,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Director of pro personnel,Glen Fox,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Director of college scouting,Vacant,2026-08-31T00:53:23.584622+00:00
ARI,front_office,Assistant director of college scouting,Alfonza Knight,2026-08-31T00:53:23.584622+00:00
ARI,head_coach,Head coach,Mike LaFleur,2026-08-31T00:53:23.584622+00:00
ARI,offense,Offensive coordinator,Nathaniel Hackett,2026-08-31T00:53:23.584622+00:00
ARI,offense,Quarterbacks,Matt Schaub,2026-08-31T00:53:23.584622+00:00
ARI,offense,Running backs,Matt Merritt,2026-08-31T00:53:23.584622+00:00
ARI,offense,Wide receivers,Tony Sorrentino,2026-08-31T00:53:23.584622+00:00
ARI,offense,Tight ends,Jake Moreland,2026-08-31T00:53:23.584622+00:00
ARI,offense,Offensive line,Justin Frye,2026-08-31T00:53:23.584622+00:00
ARI,offense,Assistant offensive line,Chris Cook,2026-08-31T00:53:23.584622+00:00
ARI,offense,Pass game specialist,Connor Senger,2026-08-31T00:53:23.584622+00:00
ARI,offense,Offensive quality control,Brett Ekkens,2026-08-31T00:53:23.584622+00:00
ARI,offense,Bill Bidwill fellowship,Wendy Laurent,2026-08-31T00:53:23.584622+00:00
ARI,defense,Defensive coordinator,Nick Rallis,2026-08-31T00:53:23.584622+00:00
ARI,defense,Defensive line,Pete Kwiatkowski,2026-08-31T00:53:23.584622+00:00
ARI,defense,Assistant defensive line,Alec Osborne,2026-08-31T00:53:23.584622+00:00
ARI,defense,Outside linebackers,Matt Feeney,2026-08-31T00:53:23.584622+00:00
ARI,defense,Inside linebackers,Rod Wilson,2026-08-31T00:53:23.584622+00:00
ARI,defense,Defensive backs,Cristian Garcia,2026-08-31T00:53:23.584622+00:00
ARI,defense,Cornerbacks,Zac Etheridge,2026-08-31T00:53:23.584622+00:00
ARI,defense,Senior defensive assistant,Teryl Austin,2026-08-31T00:53:23.584622+00:00
ARI,defense,Defensive quality control,Brent Jackson,2026-08-31T00:53:23.584622+00:00
ARI,special_teams,Special teams coordinator,Michael Ghobrial,2026-08-31T00:53:23.584622+00:00
ARI,special_teams,Assistant special teams,Sam Sewell,2026-08-31T00:53:23.584622+00:00
ARI,strength,"Director, football performance",Shea Thompson,2026-08-31T00:53:23.584622+00:00
ARI,strength,Head strength and conditioning,Kyle Sammons,2026-08-31T00:53:23.584622+00:00
ARI,strength,Assistant strength and conditioning,Matt King,2026-08-31T00:53:23.584622+00:00
ARI,strength,Assistant strength and conditioning,Rich Pruett,2026-08-31T00:53:23.584622+00:00
ARI,strength,Reconditioning/Assistant strength and conditioning,Aaron Sanchez,2026-08-31T00:53:23.584622+00:00
ARI,strength,Senior reconditioning coordinator,Buddy Morris,2026-08-31T00:53:23.584622+00:00
ATL,front_office,Owner/chairman,Arthur Blank,2026-08-31T00:53:23.584622+00:00
ATL,front_office,President/CEO,Greg Beadles,2026-08-31T00:53:23.584622+00:00
ATL,front_office,President of football,Matt Ryan,2026-08-31T00:53:23.584622+00:00
