def_team,position,fp_ppr_pg,fp_half_pg,fp_std_pg,team_games,rank_ppr,rank_half,rank_std,derived_from_seasons
MIN,QB,11.0,11.0,11.0,17,1,1,1,2025
LAC,QB,12.44,12.44,12.44,17,2,2,3,2025
HOU,QB,12.48,12.45,12.42,17,3,3,2,2025
BUF,QB,12.86,12.86,12.86,17,4,4,4,2025
CLE,QB,13.31,13.31,13.31,17,5,5,5,2025
SEA,QB,13.64,13.64,13.64,17,6,6,6,2025
CAR,QB,13.82,13.82,13.82,17,7,7,7,2025
NO,QB,13.88,13.88,13.88,17,8,8,8,2025
DEN,QB,14.2,14.2,14.2,17,9,9,9,2025
PHI,QB,14.41,14.41,14.41,17,10,10,10,2025
NE,QB,14.59,14.59,14.59,17,11,11,11,2025
GB,QB,14.78,14.78,14.78,17,12,12,12,2025
LA,QB,14.93,14.93,14.93,17,13,13,13,2025
KC,QB,14.96,14.96,14.96,17,14,14,14,2025
JAX,QB,15.62,15.62,15.62,17,15,15,15,2025
ATL,QB,15.97,15.97,15.97,17,16,16,16,2025
LV,QB,16.09,16.03,15.97,17,17,17,16,2025
IND,QB,16.55,16.55,16.55,17,18,18,18,2025
ARI,QB,16.95,16.95,16.95,17,19,19,19,2025
SF,QB,17.11,17.11,17.11,17,20,20,20,2025
BAL,QB,17.59,17.56,17.53,17,21,21,21,2025
CHI,QB,17.78,17.78,17.78,17,22,23,23,2025
NYG,QB,17.78,17.75,17.72,17,22,22,22,2025
MIA,QB,17.92,17.92,17.92,17,24,24,24,2025
DET,QB,17.99,17.96,17.93,17,25,25,25,2025
CIN,QB,18.07,18.01,17.95,17,26,26,26,2025
PIT,QB,18.56,18.56,18.56,17,27,27,27,2025
TEN,QB,18.93,18.93,18.93,17,28,28,28,2025
WAS,QB,19.44,19.44,19.44,17,29,30,30,2025
TB,QB,19.45,19.42,19.39,17,30,29,29,2025
NYJ,QB,19.83,19.83,19.83,17,31,31,31,2025
DAL,QB,23.1,23.1,23.1,17,32,32,32,2025
DEN,RB,16.95,15.54,14.12,17,1,1,4,2025
JAX,RB,18.21,15.88,13.56,17,2,3,2,2025
LAC,RB,18.41,16.7,14.99,17,3,5,6,2025
SEA,RB,18.48,15.72,12.95,17,4,2,1,2025
NE,RB,18.66,16.28,13.89,17,5,4,3,2025
PIT,RB,19.11,16.88,14.64,17,6,6,5,2025
KC,RB,19.18,17.24,15.3,17,7,7,7,2025
DET,RB,19.25,17.49,15.72,17,8,8,10,2025
MIN,RB,19.58,17.96,16.34,17,9,11,12,2025
HOU,RB,19.62,17.53,15.44,17,10,9,8,2025
IND,RB,19.94,17.99,16.05,17,11,12,11,2025
LA,RB,20.04,17.75,15.45,17,12,10,9,2025
NO,RB,20.6,18.95,17.31,17,13,13,15,2025
CHI,RB,21.16,19.19,17.22,17,14,15,14,2025
GB,RB,21.23,18.96,16.7,17,15,14,13,2025
TEN,RB,21.41,19.82,18.24,17,16,19,21,2025
ATL,RB,21.45,19.48,17.51,17,17,17,18,2025
CLE,RB,21.46,19.46,17.46,17,18,16,16,2025
TB,RB,22.06,19.77,17.48,17,19,18,17,2025
PHI,RB,22.51,20.69,18.86,17,20,23,23,2025
LV,RB,22.83,20.62,18.42,17,21,21,22,2025
BAL,RB,23.01,20.27,17.54,17,22,20,19,2025
SF,RB,23.41,20.65,17.88,17,23,22,20,2025
BUF,RB,23.88,21.94,20.0,17,24,24,27,2025
CAR,RB,24.15,21.94,19.74,17,25,24,25,2025
MIA,RB,24.39,21.98,19.56,17,26,26,24,2025
DAL,RB,24.78,22.31,19.84,17,27,27,26,2025
WAS,RB,25.22,23.54,21.86,17,28,29,29,2025
NYG,RB,25.58,23.35,21.11,17,29,28,28,2025
ARI,RB,26.22,24.08,21.93,17,30,30,30,2025
NYJ,RB,27.98,26.16,24.34,17,31,32,32,2025
CIN,RB,28.18,25.86,23.53,17,32,31,31,2025
BUF,TE,7.45,6.1,4.75,17,1,1,2,2025
PHI,TE,8.34,6.37,4.4,17,2,2,1,2025
LV,TE,10.06,8.03,6.0,17,3,4,4,2025
ATL,TE,10.08,7.96,5.84,17,4,3,3,2025
LAC,TE,10.45,8.39,6.34,17,5,5,8,2025
MIN,TE,10.65,8.45,6.24,17,6,6,7,2025
BAL,TE,10.92,8.51,6.09,17,7,7,5,2025
KC,TE,11.01,8.59,6.18,17,8,8,6,2025
NYG,TE,11.36,8.94,6.53,17,9,9,9,2025
CLE,TE,12.11,9.61,7.11,17,10,12,12,2025
GB,TE,12.11,9.35,6.58,17,10,10,10,2025
DAL,TE,12.23,9.58,6.94,17,12,11,11,2025
HOU,TE,12.28,9.72,7.16,17,13,13,13,2025
NO,TE,12.48,9.86,7.24,17,14,14,14,2025
LA,TE,13.01,10.31,7.6,17,15,16,16,2025
CHI,TE,13.06,10.18,7.3,17,16,15,15,2025
DET,TE,13.44,10.85,8.26,17,17,17,19,2025
DEN,TE,13.65,10.86,8.06,17,18,18,17,2025
CAR,TE,13.71,11.15,8.59,17,19,20,21,2025
NE,TE,13.81,10.95,8.1,17,20,19,18,2025
TEN,TE,14.16,11.45,8.75,17,21,21,23,2025
SEA,TE,14.56,11.5,8.44,17,22,22,20,2025
JAX,TE,14.78,11.72,8.66,17,23,23,22,2025
SF,TE,14.82,11.91,9.0,17,24,24,24,2025
IND,TE,15.12,12.12,9.12,17,25,25,25,2025
