team_abbr,team_name,category,position,depth_rank,is_starter,player_name,status,footballguys_player_id,pulled_at
ARI,Arizona Cardinals,offense,QB,1,True,Jacoby Brissett,,BrisJa00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,QB,2,False,Gardner Minshew,,MinsGa00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,QB,3,False,Carson Beck,,BeckCa00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RB,1,True,Jeremiyah Love,Q,LoveJe01,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RB,2,False,Tyler Allgeier,,AllgTy00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RB,3,False,Bam Knight,,KnigZo00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RB,4,False,James Conner (IR-R),,ConnJa00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RB,5,False,Trey Benson,IR,BensTr01,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,1,True,Marvin Harrison,,HarrMa05,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,2,True,Michael Wilson,,WilsMi01,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,3,True,Kendrick Bourne,,BourKe00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,4,False,Jalen Brooks,,BrooJa02,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,5,False,Reggie Virgil,,VirgRe00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,6,False,Devin Duvernay,,DuveDe00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,WR,7,False,Simi Fehoko,,FehoSi00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,TE,1,True,Trey McBride,,McBrTr01,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,TE,2,False,Elijah Higgins,,HiggEl00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,TE,3,False,Hunter Long,,LongHu00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,TE,4,False,Tip Reiman,PUP,ReimTi00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,TE,5,False,Jameson Geers,IR,GeerJa00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,LT,1,True,Paris Johnson,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,LT,2,False,Josh Fryar,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,LG,1,True,Isaac Seumalo,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,LG,2,False,Hayden Conner,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,C,1,True,Hjalte Froholdt,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,C,2,False,Jon Gaines,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RG,1,True,Isaiah Adams,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RG,2,False,Chase Bisontis,IR,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RT,1,True,Elijah Wilkinson,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,offense,RT,2,False,Jayden Williams,,,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,LDE,1,True,Josh Sweat,,SweaJo99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,LDE,2,False,Jordan Burch,,BurcJo99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDE,1,True,Darius Robinson,,RobiDa96,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDE,2,False,Dante Stills,,StilDa97,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDE,3,False,Eku Leota,,LeotEk00,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,LDT,1,True,Roy Lopez,,LopeRo99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,LDT,2,False,Zach Carter (IR-R),,CartZa99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,LDT,3,False,Kaleb Proctor,IR,ProcKa99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDT,1,True,Walter Nolen,,NoleWa99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDT,2,False,Andrew Billings,,BillAn99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDT,3,False,L.J. Collier,,CollL+99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,RDT,4,False,Keveion'ta Spears,,SpeaKe99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,WLB,1,True,Cody Simon,,SimoCo98,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,WLB,2,False,Karson Sharar,,SharKa99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,SLB,1,True,Zaven Collins,,CollZa99,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,SLB,2,False,Baron Browning,,BrowBa98,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,MLB,1,True,Mack Wilson,,WilsMa98,2026-09-06T21:51:50.496053+00:00
ARI,Arizona Cardinals,defense,MLB,2,False,Jack Gibbens,,GibbJa99,2026-09-06T21:51:50.496053+00:00
