feed,headline,summary,author,published,link,pulled_at
nfl_main,"Sean McVay doesn't want to put an ""invisible deadline"" on Aaron Donald's decision",The Rams are giving Donald plenty of space to make his decision.,Mike Florio,"Sat, 15 Aug 2026 22:55:40 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/sean-mcvay-doesnt-want-to-put-an-invisible-deadline-on-aaron-donalds-decision,2026-08-16T05:00:11.448777+00:00
nfl_main,Deshaun Watson: I don't doubt myself in any way,"Browns coach Todd Monken said it was ""cool"" and ""awesome"" to watch Deshaun Watson play on Saturday.",Charean Williams,"Sat, 15 Aug 2026 22:13:34 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/deshaun-watson-i-dont-doubt-myself-in-any-way,2026-08-16T05:00:11.448777+00:00
nfl_main,Bears WRs coach Antwaan Randle El called plays in the second half Saturday,The Bears scored 24 points and put up 235 yards in the second half of their 34-10 preseason win over the Browns on Saturday.,Charean Williams,"Sat, 15 Aug 2026 20:56:00 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/bears-wrs-coach-antwaan-randle-el-called-plays-in-the-second-half-saturday,2026-08-16T05:00:11.448777+00:00
nfl_main,Ceyair Wright left Bengals 90-man roster for an acting opportunity,"For most football players who make it to the NFL, football is without question their best professional move.",Mike Florio,"Sat, 15 Aug 2026 19:46:15 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/ceyair-wright-left-bengals-90-man-roster-for-an-acting-opportunity,2026-08-16T05:00:11.448777+00:00
profootballtalk,Judge rules against Los Angeles Rams in arbitration case,"Mike Florio provides the latest as the Superior Court of California, County of Los Angeles found that an arbitration clause used by the Rams is unconscionable.",,"Fri, 14 Aug 2026 09:15:10 -0400",https://www.nbcsports.com/watch/nfl/profootballtalk/judge-rules-against-los-angeles-rams-in-arbitration-case,2026-08-16T05:00:11.448777+00:00
profootballtalk,Developments in Bears' new stadium create a 'strange situation',Mike Florio dives into George H. McCaskey's comments on the Bears' new location and discuss what could be next in the developments.,,"Fri, 14 Aug 2026 09:15:09 -0400",https://www.nbcsports.com/watch/nfl/profootballtalk/developments-in-bears-new-stadium-create-a-strange-situation,2026-08-16T05:00:11.448777+00:00
profootballtalk,NFL must create 'real lines' with Troy Aikman and Tom Brady - Mike Florio,Mike Florio discusses the conflicts of interest that exist with Troy Aikman and Tom Brady as both commentators have roles with NFL teams.,,"Fri, 14 Aug 2026 09:05:39 -0400",https://www.nbcsports.com/watch/nfl/profootballtalk/nfl-must-create-real-lines-with-troy-aikman-and-tom-brady-mike-florio,2026-08-16T05:00:11.448777+00:00
profootballtalk,"NFL preseason power rankings: Texans at No. 3, Cardinals at No. 32","Mike Florio runs Michael Holley through PFT’s preseason power rankings, which includes the Houston Texans at No. 3 and the New England Patriots at No. 7.",,"Fri, 14 Aug 2026 08:45:36 -0400",https://www.nbcsports.com/watch/nfl/profootballtalk/nfl-preseason-power-rankings-texans-at-no-3-cardinals-at-no-32,2026-08-16T05:00:11.448777+00:00
nfl_main,Ty Simpson dazzles in his Rams debut,And now it's becoming a little more apparent why the Rams used the 13th overall pick in the draft on quarterback Ty Simpson.,Mike Florio,"Sun, 16 Aug 2026 01:25:42 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/ty-simpson-dazzles-in-his-rams-debut,2026-08-16T05:42:40.121811+00:00
nfl_main,Dan Campbell isn't surprised Terrion Arnold found a landing spot,Campbell's praise of Arnold doesn't mesh with the Lions' decision to release him.,Mike Florio,"Sun, 16 Aug 2026 16:38:33 -0400",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/dan-campbell-isnt-surprised-terrion-arnold-found-a-landing-spot,2026-08-16T21:18:13.802441+00:00
