team_abbr,player,spotrac_id,position,age,roster_status,reason,cap_hit,cap_pct,dead_cap,cash_total,fa_year,pulled_at
ARI,Budda Baker,21777,S,30.0,Active,,19216250.0,6.38,14877500.0,16170000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Josh Sweat,25231,ED,29.0,Active,,16385000.0,5.44,31800000.0,18100000.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Jacoby Brissett,19045,QB,34.0,Active,,10365000.0,3.44,17500000.0,15790000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Marvin Harrison Jr.,90333,WR,24.0,Active,,9658537.0,3.21,20903257.0,4021766.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Jeremiyah Love,105704,RB,21.0,Active,,9644987.0,3.2,53022816.0,35911523.0,2031.0,2026-09-09T01:19:50.845697+00:00
ARI,Baron Browning,72486,LB,27.0,Active,,9415000.0,3.13,6750000.0,6695000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Paris Johnson,82283,LT,25.0,Active,,8936322.0,2.97,28627781.0,4585876.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Trey McBride,76931,TE,27.0,Active,,8701000.0,2.89,26786000.0,11026000.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Hjalte Froholdt,29166,C,30.0,Active,,7938334.0,2.64,15433334.0,10105000.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Isaac Seumalo,19033,G,33.0,Active,,6853333.0,2.28,15000000.0,12610000.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Michael Wilson,82386,WR,26.0,Active,,6216691.0,2.06,18231691.0,19495880.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Zaven Collins,72396,ED,27.0,Active,,6062737.0,2.01,1700000.0,4362737.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Gardner Minshew,29226,QB,30.0,Active,,5690000.0,1.89,5140000.0,5750000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Kendrick Bourne,22372,WR,31.0,Active,,4780000.0,1.59,6500000.0,7060000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Mack Wilson,29203,LB,28.0,Active,,4726667.0,1.57,1166667.0,3695000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Walter Nolen,97812,DL,23.0,Active,,4412596.0,1.47,15846177.0,1731223.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Tyler Allgeier,77028,RB,26.0,Active,,4350000.0,1.44,8000000.0,7100000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Garrett Williams,82364,CB,25.0,Active,,3959413.0,1.31,274533.0,3684880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Darius Robinson,90356,ED,25.0,Active,,3793424.0,1.26,8195512.0,2066728.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Jack Gibbens,77624,LB,28.0,Active,,3725000.0,1.24,4000000.0,4725000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Dante Stills,82517,ED,27.0,Active,,3718214.0,1.23,33334.0,3684880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Elijah Higgins,82501,TE,26.0,Active,,3684880.0,1.22,,3684880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Andrew Wingard,29463,S,30.0,Active,,2985000.0,0.99,1850000.0,3000000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Roy Lopez,72579,DL,29.0,Active,,2890000.0,0.96,6000000.0,6390000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Elijah Wilkinson,22556,RT,31.0,Active,,2855000.0,0.95,3080000.0,3605000.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Andrew Billings,19076,DL,31.0,Active,,2500000.0,0.83,700000.0,2500000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Max Melton,90375,CB,24.0,Active,,2434964.0,0.81,3295140.0,1613908.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Devin Duvernay,47687,WR,29.0,Active,,2350000.0,0.78,550000.0,1850000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Will Johnson,97846,CB,23.0,Active,,2149351.0,0.71,5949070.0,1278302.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Hunter Long,72461,TE,28.0,Active,,2132353.0,0.71,1000000.0,2250000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Chad Ryland,82416,K,27.0,Active,,1850000.0,0.61,475000.0,1850000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,L.J. Collier,29064,DL,31.0,Active,,1740000.0,0.58,750000.0,2000000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Blake Gillikin,48001,P,28.0,Active,,1725000.0,0.57,450000.0,1905000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Isaiah Adams,90403,G,26.0,Active,,1640365.0,0.54,582646.0,1349042.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Jordan Burch,97877,ED,25.0,Active,,1485846.0,0.49,1019715.0,1145941.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Carson Beck,107349,QB,24.0,Active,,1351019.0,0.45,1846176.0,2735651.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Jon Gaines II,82426,C,27.0,Active,,1338940.0,0.44,183060.0,1155880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Dadrion Taylor-Demerson,90436,S,25.0,Active,,1297591.0,0.43,423422.0,1085880.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Casey Kreiter,14842,LS,36.0,Active,,1273380.0,0.42,1262500.0,1498380.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Simi Fehoko,72563,WR,29.0,Active,,1273380.0,0.42,1262500.0,1413380.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Cody Simon,97916,LB,24.0,Active,,1267070.0,0.42,753570.0,1015880.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Kei'Trel Clark,82484,CB,25.0,Active,,1207693.0,0.4,52153.0,1155540.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Bam Knight,77545,RB,25.0,Active,,1195000.0,0.4,,1195000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Jalen Brooks,82548,WR,26.0,Active,,1155880.0,0.38,,1155880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Eku Leota,82711,LB,27.0,Active,,1155880.0,0.38,,1155880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Denzel Burke,97975,CB,24.0,Active,,1095934.0,0.36,240162.0,1015880.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Hayden Conner,98012,G,24.0,Active,,1059450.0,0.35,130710.0,1015880.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Kitan Crawford,98026,S,24.0,Active,,1050351.0,0.35,103419.0,1015880.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Reggie Virgil,107393,WR,22.0,Active,,1028958.0,0.34,556500.0,1446333.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Josh Fryar,98059,RT,24.0,Active,,1027547.0,0.34,,1015880.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Karson Sharar,107423,LB,23.0,Active,,971941.0,0.32,328432.0,1218265.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Jayden Williams,107447,T,23.0,Active,,935196.0,0.31,181452.0,1071285.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Wydett Williams Jr.,107669,S,23.0,Active,,893166.0,0.3,110000.0,899833.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,James Conner,21847,RB,31.0,IR,SHORT-TERM IR: FOOT,4830000.0,1.6,4350000.0,3000000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Chase Bisontis,106256,G,22.0,IR,KNEE,2415511.0,0.8,13258732.0,6992545.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Joey Blount,77579,S,28.0,IR,NECK,1780000.0,0.59,200000.0,1820000.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Trey Benson,90398,RB,24.0,IR,KNEE,1663500.0,0.55,613492.0,1356754.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Kaleb Proctor,107376,DL,22.0,IR,KNEE,835788.0,0.28,1263820.0,1783653.0,2030.0,2026-09-09T01:19:50.845697+00:00
ARI,Zach Carter,76971,DL,27.0,IR,SHORT-TERM IR: KNEE,625880.0,0.21,,625880.0,2027.0,2026-09-09T01:19:50.845697+00:00
ARI,Jameson Geers,107665,TE,24.0,IR,KNEE,524833.0,0.17,125000.0,534833.0,2029.0,2026-09-09T01:19:50.845697+00:00
ARI,Tip Reiman,90414,TE,25.0,PUP,,1589947.0,0.53,515422.0,1332236.0,2028.0,2026-09-09T01:19:50.845697+00:00
ARI,Teagan Quitoriano,77047,TE,26.0,PS,,411300.0,0.14,,411300.0,,2026-09-09T01:19:50.845697+00:00
ARI,Starling Thomas V,82928,CB,26.0,PS,,411300.0,0.14,,411300.0,,2026-09-09T01:19:50.845697+00:00
ARI,Matt Pryor,25307,RT,32.0,PS,,330300.0,0.11,,330300.0,,2026-09-09T01:19:50.845697+00:00
ARI,Ihmir Smith-Marsette,72541,WR,27.0,PS,,330300.0,0.11,,330300.0,,2026-09-09T01:19:50.845697+00:00
ARI,Evan Hull,82480,RB,26.0,PS,,330300.0,0.11,,330300.0,,2026-09-09T01:19:50.845697+00:00
ARI,Demontrey Jacobs,82972,LT,28.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Kalen King,90589,CB,23.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Shawn Bowman,90753,TE,26.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Valentin Senn,98284,G,26.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Jared Harrison-Hunte,98398,ED,26.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Eugene Asante,98446,LB,25.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Cam Horsley,98529,DL,24.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Vershon Lee,98995,G,25.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Harrison Wallace III,107482,WR,23.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Cameron Robertson,107666,LB,22.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
ARI,Damonic Williams,107668,DL,22.0,PS,,247500.0,0.08,,247500.0,,2026-09-09T01:19:50.845697+00:00
