team_abbr,off_plays,off_pass_rate_neutral,off_proe,off_shotgun_pct,off_under_center_pct,off_pistol_pct,off_no_huddle_pct,off_11_pct,off_12_pct,off_21_pct,off_heavy_pct,def_box_avg,def_base_pct,def_nickel_pct,def_dime_pct,def_blitz_pct,def_man_pct,def_top_coverage,off_identity,def_identity,hc_name,oc_name,dc_name,derived_from_seasons
ARI,2145.0,57.5,-1.2,71.2,27.7,1.6,11.2,59.7,29.3,0.0,10.9,6.13,35.9,54.5,9.6,21.2,32.6,Cover 2,"balanced, 12-personnel lean","base-personnel lean, average pressure, zone-heavy, most-used Cover 2",Mike LaFleur,Nathaniel Hackett,Nick Rallis,"2023, 2025"
ATL,2119.0,54.3,-8.0,78.8,20.8,28.7,12.3,31.5,40.2,15.0,13.1,6.25,23.5,66.9,9.6,30.0,46.1,Cover 1,"run-leaning, 12-personnel lean, shotgun-heavy","nickel base, blitz-heavy, man-leaning, most-used Cover 1",Kevin Stefanski,Tommy Rees,Jeff Ulbrich,"2023, 2025"
BAL,2020.0,52.5,-4.5,75.3,24.4,6.1,5.0,42.5,24.3,23.9,9.1,6.31,14.9,72.6,12.5,22.3,44.8,Cover 1,"run-leaning, heavy two-back / FB usage","nickel base, average pressure, man-leaning, most-used Cover 1",Jesse Minter,Declan Doyle,Anthony Weaver,"2023, 2025"
BUF,2159.0,54.7,-1.5,62.2,37.2,0.7,9.6,67.1,16.0,7.4,9.4,6.25,12.5,71.7,15.8,21.5,36.9,Cover 2,"balanced, real under-center rate","dime-heavy, average pressure, man/zone mix, most-used Cover 2",Joe Brady,Pete Carmichael,Jim Leonhard,"2023, 2025"
CAR,2090.0,54.3,-5.8,75.2,24.4,6.9,8.9,79.2,15.1,1.2,4.6,6.22,29.5,57.4,13.1,27.2,30.4,Cover 3,"run-leaning, spread, 11-personnel base","average pressure, zone-heavy, most-used Cover 3",Dave Canales,Brad Idzik,Ejiro Evero,"2023, 2025"
CHI,2185.0,53.6,-4.4,64.5,35.0,4.7,6.6,57.0,30.4,5.7,6.8,6.18,18.5,74.2,7.3,22.8,38.5,Cover 1,"run-leaning, 12-personnel lean, real under-center rate","nickel base, average pressure, man/zone mix, most-used Cover 1",Ben Johnson,Press Taylor,Dennis Allen,"2023, 2025"
CIN,2081.0,65.0,3.7,83.7,15.7,2.1,3.0,73.5,24.3,1.3,0.9,6.23,23.7,66.9,9.4,18.9,42.0,Cover 1,"pass-first, spread, 11-personnel base, shotgun-heavy","nickel base, 4-man rush, man-leaning, most-used Cover 1",Zac Taylor,Dan Pitcher,Al Golden,"2023, 2025"
CLE,2209.0,56.9,-3.7,66.5,32.4,2.0,7.5,63.6,30.2,0.7,5.5,6.47,29.0,59.9,11.1,28.5,45.2,Cover 1,"run-leaning, 12-personnel lean","average pressure, man-leaning, most-used Cover 1",Todd Monken,Travis Switzer,Mike Rutenberg,"2023, 2025"
DAL,2208.0,60.1,1.0,63.2,36.4,1.2,7.4,68.9,17.2,7.1,6.8,6.35,17.6,47.0,35.4,29.3,43.8,Cover 1,"pass-first, spread, 11-personnel base, real under-center rate","dime-heavy, average pressure, man-leaning, most-used Cover 1",Brian Schottenheimer,Klayton Adams,Christian Parker,"2023, 2025"
DEN,2081.0,58.7,-1.1,61.6,38.5,2.3,11.8,63.9,19.3,9.6,7.2,6.24,29.1,60.0,11.0,33.2,49.9,Cover 1,"balanced, real under-center rate","nickel base, blitz-heavy, man-leaning, most-used Cover 1",Sean Payton,Davis Webb,Vance Joseph,"2023, 2025"
