game_id,season,week,gameday,home_team,away_team,stadium,temp_forecast,wind_forecast,precip_prob_forecast,pulled_at
2026_01_NE_SEA,2026,1,2026-09-09,SEA,NE,Lumen Field,70.64166666666667,7.7,0,2026-09-06T21:52:36.724934+00:00
2026_01_CHI_CAR,2026,1,2026-09-13,CAR,CHI,Bank of America Stadium,85.40833333333335,5.9,12,2026-09-06T21:52:36.724934+00:00
2026_01_TB_CIN,2026,1,2026-09-13,CIN,TB,Paycor Stadium,88.89999999999999,9.6,17,2026-09-06T21:52:36.724934+00:00
2026_01_BUF_HOU,2026,1,2026-09-13,HOU,BUF,NRG Stadium,88.69166666666666,14.0,26,2026-09-06T21:52:36.724934+00:00
2026_01_BAL_IND,2026,1,2026-09-13,IND,BAL,Lucas Oil Stadium,89.89999999999999,11.5,20,2026-09-06T21:52:36.724934+00:00
2026_01_CLE_JAX,2026,1,2026-09-13,JAX,CLE,EverBank Stadium,91.63333333333333,10.9,48,2026-09-06T21:52:36.724934+00:00
2026_01_ATL_PIT,2026,1,2026-09-13,PIT,ATL,Acrisure Stadium,80.125,7.4,22,2026-09-06T21:52:36.724934+00:00
2026_01_NYJ_TEN,2026,1,2026-09-13,TEN,NYJ,Nissan Stadium,90.41666666666667,9.1,19,2026-09-06T21:52:36.724934+00:00
2026_01_WAS_PHI,2026,1,2026-09-13,PHI,WAS,Lincoln Financial Field,80.875,10.4,8,2026-09-06T21:52:36.724934+00:00
2026_01_DAL_NYG,2026,1,2026-09-13,NYG,DAL,MetLife Stadium,80.575,10.8,8,2026-09-06T21:52:36.724934+00:00
2026_01_DEN_KC,2026,1,2026-09-14,KC,DEN,GEHA Field at Arrowhead Stadium,80.83333333333333,12.5,18,2026-09-06T21:52:36.724934+00:00
2026_02_DET_BUF,2026,2,2026-09-17,BUF,DET,Highmark Stadium,64.875,12.3,8,2026-09-06T21:52:36.724934+00:00
2026_02_CAR_ATL,2026,2,2026-09-20,ATL,CAR,Mercedes-Benz Stadium,84.94166666666666,4.9,15,2026-09-06T21:52:36.724934+00:00
2026_02_NO_BAL,2026,2,2026-09-20,BAL,NO,M&T Bank Stadium,77.25833333333334,11.4,32,2026-09-06T21:52:36.724934+00:00
2026_02_MIN_CHI,2026,2,2026-09-20,CHI,MIN,Soldier Field,59.06666666666666,11.2,29,2026-09-06T21:52:36.724934+00:00
2026_02_CIN_HOU,2026,2,2026-09-20,HOU,CIN,NRG Stadium,89.11666666666667,11.7,19,2026-09-06T21:52:36.724934+00:00
2026_02_PIT_NE,2026,2,2026-09-20,NE,PIT,Gillette Stadium,69.58333333333333,11.9,23,2026-09-06T21:52:36.724934+00:00
2026_02_GB_NYJ,2026,2,2026-09-20,NYJ,GB,MetLife Stadium,74.61666666666666,14.4,16,2026-09-06T21:52:36.724934+00:00
2026_02_CLE_TB,2026,2,2026-09-20,TB,CLE,Raymond James Stadium,91.05,13.5,58,2026-09-06T21:52:36.724934+00:00
2026_02_PHI_TEN,2026,2,2026-09-20,TEN,PHI,Nissan Stadium,82.04166666666667,10.0,26,2026-09-06T21:52:36.724934+00:00
2026_02_JAX_DEN,2026,2,2026-09-20,DEN,JAX,Empower Field at Mile High,69.15833333333333,11.5,30,2026-09-06T21:52:36.724934+00:00
2026_02_SEA_ARI,2026,2,2026-09-20,ARI,SEA,State Farm Stadium,91.04166666666667,17.5,20,2026-09-06T21:52:36.724934+00:00
2026_02_WAS_DAL,2026,2,2026-09-20,DAL,WAS,AT&T Stadium,69.5,13.4,13,2026-09-06T21:52:36.724934+00:00
2026_02_MIA_SF,2026,2,2026-09-20,SF,MIA,Levi's Stadium,76.875,8.7,0,2026-09-06T21:52:36.724934+00:00
2026_02_IND_KC,2026,2,2026-09-20,KC,IND,GEHA Field at Arrowhead Stadium,63.324999999999996,13.0,19,2026-09-06T21:52:36.724934+00:00
